"Product URL rewrite","Reescritura de URL de producto"
"Disables the <strong>url_key</strong> product attribute.<br />Disables products URLs reindexation.<br />Effective immediately.","Desactiva el atributo producto <strong lang=""en"">url_key</strong>.<br />Desactiva la reindexación de las URLs de productos.<br />Es efectivo inmediatamente."
"Attributes to use","Atributos a usar"
"Example: www.example.org/id-<strong>abc-xyz</strong>.html<br />Attributes separated by a space.","Ejemplo: www.ejemplo.org/id-<strong>abc-xyz</strong>.html<br />Atributos separados por un espacio."
"Values to ignore","Valores a ignorar"
"Allows to filter the values of previous attributes. Values separated by a space.","Permite filtrar los valores de los atributos anteriores. Valores separados por un espacio."
"Attribute used for old products ids","Atributo utilizado por los antiguos productos ids"
"Allows to redirect deleted products to the new ones. The attribute must be unique and global. On the product page, values separated by a comma or a space.","Permite reorientar los productos suprimidos hacia los nuevos. El atributo debe ser único y global. En la hoja de producto, valores separados por una coma."
"Automatically display the product URL rewrite tab","Publicar automáticamente la pestaña reescritura de URL de producto"
"When displaying the modification page of a product in the backend.","En el momento de la publicación de la página de modificación de un producto en el back-office."
"Example with the latest created product","Ejemplo con el último producto creado"
"See {{Product URL rewrite}}.","Ver {{Reescritura de URL de producto}}."
"INCOMPLETE MODULE INSTALLATION","INSTALLACIÓN INCOMPLETA DEL MODULO"
"There is conflict (<em>%s</em>).","Hay un conflicto (<em lang=""en"">%s</em>)."
"Format: <strong>www.example.org/%s%s</strong>","Formato: <strong>www.ejemplo.org/<span lang=""en"">%s</span>%s</strong>"
"This product replaces the following deleted products (via the <em>%s</em> attribute): %s.","Este producto sustituye los siguientes productos eliminados (vía el atributo <em lang=""en"">%s</em>): %s."
"Address description for the store view #%d:","Descripción de la dirección para la vista tienda n°%d:"
"%s <span %s>Warning! This attribute does not exist.</span>","<span lang=""en"">%s</span> <span %s>¡Cuidado! Este atributo no existe.</span>"
"%s: %s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span>: %s <span %s>¡Cuidado! No se usa este atributo en las listas de productos (<a %s>modificar el atributo</a>).</span>"
"%s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span> <span %s>¡Cuidado! No se usa este atributo en las listas de productos (<a %s>modificar el atributo</a>).</span>"
"%s: %s","<span lang=""en"">%s</span>: %s"
"List of addresses:","Lista de direcciones:"