"Product URL rewrite","Produkt-URL Neuschrift"
"Disables the <strong>url_key</strong> product attribute.<br />Disables products URLs reindexation.<br />Effective immediately.","Produktattribut <strong lang=""en"">url_key</strong> ausschalten.<br />Neufestsetzung des Produkts-URL ausschalten.<br />Ist jetzt in Kraft."
"Attributes to use","Attribute zu benutzen"
"Example: www.example.org/id-<strong>abc-xyz</strong>.html<br />Attributes separated by a space.","Beispiel: www.beispiel.org/id-<strong>abc-xyz</strong>.html<br />Mit einem Zwischenraum getrennte Attribute."
"Values to ignore","Werte zu ignorieren"
"Allows to filter the values of previous attributes. Values separated by a space.","Ermöglicht, die Werte der vorherigen Attribute zu filtern. Werte, die mit einem Zwischenraum getrennt sind."
"Attribute used for old products ids","Attribut das bei alten Produkt-ids benutzt ist"
"Allows to redirect deleted products to the new ones. The attribute must be unique and global. On the product page, values separated by a comma or a space.","Ermöglicht, gelöschte Attribute zu Neuen umzuleiten. Das Attribut muss einzigartig und global sein. Auf dem Produktblatt durch ein Komma getrennte Werte."
"Automatically display the product URL rewrite tab","Die Produkt-URL Neuschrift Tab automatisch anzeigen"
"When displaying the modification page of a product in the backend.","Bei der Anzeige der Bearbeitungsseite eines Produkts im Backend."
"See {{Product URL rewrite}}.","Siehe {{Produkt-URL Neuschrift}}."
"List of addresses:","Adressenliste:"
"Format: <strong>www.example.org/%s%s</strong>","Format: <strong>www.beispiel.org/<span lang=""en"">%s</span>%s</strong>"
"This product replaces the following deleted products (via the <em>%s</em> attribute): %s.","Dieses Produkt überschreibt die gelöschten Produkte (durch den Attribut <em lang=""en"">%s</em>): %s."
"Address description for the store view #%d:","Adressebeschreibung für die Geschäftssicht %d:"
"%s <span %s>Warning! This attribute does not exist.</span>","<span lang=""en"">%s</span> <span %s>Achtung! Dieses Attribut existiert nicht.</span>"
"%s: %s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span>: %s <span %s>Achtung! Dieses Attribut ist in der Produktliste nicht benutzt (<a %s>das Attribut ändern</a>).</span>"
"%s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span> <span %s>Achtung! Dieses Attribut ist in der Produktliste nicht benutzt (<a %s>das Attribut ändern</a>).</span>"
"%s: %s","<span lang=""en"">%s</span>: %s"