"Product URL rewrite","Réécriture d'URL produit"
"Disables the <strong>url_key</strong> product attribute.<br />Disables products URLs reindexation.<br />Effective immediately.","Désactive l'attribut produit <strong lang=""en"">url_key</strong>.<br />Désactive la réindexation des URLs produits.<br />Est effectif immédiatement."
"Attributes to use","Attributs à utiliser"
"Example: www.example.org/id-<strong>abc-xyz</strong>.html<br />Attributes separated by a space.","Exemple : www.exemple.org/id-<strong>abc-xyz</strong>.html<br />Attributs séparés par un espace."
"Values to ignore","Valeurs à ignorer"
"Allows to filter the values of previous attributes. Values separated by a space.","Permet de filtrer les valeurs des attributs précédents. Valeurs séparées par un espace."
"Attribute used for old products ids","Attribut utilisé pour les anciens ids produits"
"Allows to redirect deleted products to the new ones. The attribute must be unique and global. On the product page, values separated by a comma or a space.","Permet de rediriger les produits supprimés vers les nouveaux. L'attribut doit être unique et global. Sur la fiche produit, valeurs séparées par une virgule ou par un espace."
"Redirect non rewritten URLs","Rediriger les URLs non réécrites"
"For example <em>catalog/product/view/id</em> to <em>id-xyz.html</em>.","Par exemple <em lang=""en"">catalog/product/view/id</em> vers <em>id-xyz.html</em>."
"Keep URLs parameters","Conserver les paramètres des URLs"
"Keep <em>QUERY_STRING</em> when URL is redirected.","Conserve la <em>QUERY_STRING</em> lorsque l'URL est redirigée."
"Automatically display the product URL rewrite tab","Afficher automatiquement l'onglet réécriture d'URL produit"
"When displaying the modification page of a product in the backend.","Lors de l'affichage de la page de modification d'un produit dans le back-office."
"Example with the latest created product","Exemple avec le dernier produit créé"
"See {{Product URL rewrite}}.","Voir {{Réécriture d'URL produit}}."
"INCOMPLETE MODULE INSTALLATION","INSTALLATION INCOMPLÈTE DU MODULE"
"There is conflict (<em>%s</em>).","Il y a un conflit (<em lang=""en"">%s</em>)."
"Format: <strong>www.example.org/%s%s</strong>","Format : <strong>www.exemple.org/<span lang=""en"">%s</span>%s</strong>"
"This product replaces the following deleted products (via the <em>%s</em> attribute): %s.","Ce produit remplace les produits supprimés suivants (via l'attribut <em lang=""en"">%s</em>) : %s."
"Address description for the store view #%d:","Description de l'adresse pour la vue magasin n°%d :"
"%s <span %s>Warning! This attribute does not exist.</span>","<span lang=""en"">%s</span> <span %s>Attention! Cet attribut n'existe pas.</span>"
"%s: %s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span> : %s <span %s>Attention! Cet attribut n'est pas utilisé dans les listes de produits (<a %s>modifier l'attribut</a>).</span>"
"%s <span %s>Warning! This attribute is not used in product listing (<a %s>edit attribute</a>).</span>","<span lang=""en"">%s</span> <span %s>Attention! Cet attribut n'est pas utilisé dans les listes de produits (<a %s>modifier l'attribut</a>).</span>"
"%s: %s","<span lang=""en"">%s</span> : %s"
"List of addresses:","Liste des adresses :"
"(%d) <span lang=""%s"">%s</span>:","(%d) <span lang=""%s"">%s</span> :"
"(%d) %s:","(%d) %s :"
"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"